Q1,Q2,Q3,Q4,Q5,Recommended_Club
B,A,C,C,C,Tech Club
B,D,C,B,C,Tech Club
B,B,B,C,B,Sports Club
D,A,A,B,D,Art Club
B,B,C,C,D,Tech Club
A,D,B,A,D,Art Club
A,A,A,D,A,Art Club
A,C,D,B,A,Art Club
D,C,C,B,A,Tech Club
B,A,D,D,B,Sports Club
D,D,B,A,D,Art Club
C,B,B,D,A,Sports Club
D,D,C,A,A,Art Club
B,D,D,B,D,Sports Club
D,C,C,B,A,Tech Club
B,D,B,A,C,Sports Club
D,A,D,D,B,Sports Club
B,A,A,A,A,Art Club
A,B,A,B,A,Art Club
C,C,D,C,D,Tech Club
D,D,A,A,A,Art Club
A,D,A,B,B,Art Club
B,D,B,A,B,Sports Club
A,B,D,D,C,Tech Club
B,C,C,C,C,Tech Club
C,A,A,A,A,Art Club
D,B,A,C,C,Tech Club
C,B,B,C,C,Tech Club
A,A,C,C,B,Tech Club
A,D,D,D,D,Art Club
A,A,A,D,D,Art Club
C,D,C,B,D,Tech Club
A,D,A,B,B,Art Club
C,A,A,A,A,Art Club
A,B,C,B,A,Art Club
A,A,D,B,D,Art Club
B,D,C,C,A,Tech Club
C,C,A,B,B,Sports Club
B,A,A,D,C,Art Club
C,D,A,A,A,Art Club
B,D,C,D,D,Tech Club
A,D,C,B,C,Tech Club
A,B,C,D,A,Art Club
A,A,C,A,D,Art Club
D,D,A,B,C,Art Club
A,A,C,C,B,Tech Club
C,B,C,A,C,Tech Club
A,B,D,B,A,Art Club
B,D,A,C,D,Tech Club
D,B,B,C,B,Sports Club
C,B,D,D,C,Tech Club
C,A,A,C,A,Art Club
B,D,A,C,C,Tech Club
A,A,A,B,D,Art Club
B,D,A,D,A,Art Club
